star_item,price_item,price_discount,name
۴.۵,"۷۸۹,۰۰۰",۶٪,هدفون بلوتوثی انکر مدل SoundCore R50i A3949
۴.۵,"۴,۹۶۹,۰۰۰",۶٪,هدفون بلوتوثی سامسونگ مدل Galaxy Buds2 Pro
-1,"۷۸۲,۰۰۰",۵۴٪,هدست بلوتوثی مدل K5PRO
-1,"۵۸۸,۰۰۰",۵۱٪,هندزفری بلوتوثی مدل TWS 02
۴.۴,"۶۶۹,۰۰۰",-1,هدفون بلوتوثی کیو سی وای مدل T13 TWS
۴.۵,"۷۲۵,۰۰۰",-1,هدفون بلوتوثی کیو سی وای مدل T13 ANC 2
۴.۴,"۶۲۰,۸۴۰",-1,هدفون بلوتوثی کیو سی وای مدل T13x
۴.۵,"۲,۵۱۰,۰۰۰",-1,هدفون بلوتوثی سامسونگ مدل Galaxy Buds FE
۴.۲,"۷۴۸,۰۰۰",-1,هدفون بلوتوثی کیو سی وای مدل T20 AilyPods
۳.۸,"۱۳۳,۳۲۰",-1,هدفون بلوتوثی مدل inPods 12
۳.۷,"۱۴۵,۰۰۰",-1,هدفون بلوتوثی مدل air pods m19
۴.۳,"۵,۴۳۹,۰۰۰",۹٪,هدفون بلوتوثی اپل مدل AirPods New Generation
۴.۱,"۹۳۹,۰۰۰",-1,هدفون بلوتوثی استوریا مدل ST-HP01
۴.۳,"۱۱,۵۶۰,۰۰۰",-1,هدفون بلوتوثی اپل مدل AirPods Pro 2nd Generation
۴.۵,"۷۲۸,۰۰۰",-1,هدفون بلوتوثی انکر مدل Soundcore P25i
۴.۶,"۲۶,۲۹۰,۰۰۰",-1,هدفون بلوتوثی اپل مدل AirPods Max
۴.۵,"۱,۷۳۰,۰۰۰",-1,هدفون بلوتوثی شیائومی مدل Redmi Buds 5
۳.۷,"۱۷۷,۸۶۰",-1,هدفون بلوتوثی مدل M28-C-Damax 2023 version C
۴.۳,"۶۵۹,۰۰۰",۲۷٪,هدفون بلوتوثی اکسیژن مدل E12
۴.۳,"۱,۱۴۰,۰۰۰",-1,هدفون مخصوص بازی اونیکوما مدل k10 Pro
۴.۴,"۶۹۷,۵۸۰",-1,هدفون بلوتوثی کیو سی وای مدل T13 ANC
۳.۵,"۱۴۵,۱۲۰",-1,هدفون بی سیم  مدل M19 Newest
